word,cat,info,spentLondon,storeBought,servedDinnerTo,twoAdjs,agreement,agreementHuman
astonishing,adj,ambig,1,1,1,1,0,0
incredible,adj,ambig,1,1,1,0,0,0
impressive,adj,ambig,1,1,1,1,0,0
disappointing,adj,ambig,1,1,0,0,1,1
wintry,adj,lowfreq,0,0,0,0,0,0
diffident,adj,lowfreq,0,0,0,0,0,0
insidious,adj,lowfreq,0,0,0,0,0,0
uninhibited,adj,lowfreq,0,0,0,0,0,0
melodious,adj,lowfreq,0,0,0,0,0,0
lovely,adj,pos,1,1,0,0,1,1
beautiful,adj,pos,1,1,0,1,1,1
hideous,adj,neg,1,1,0,1,1,1
ugly,adj,neg,1,1,0,1,0,0
mere,adj,quant,1,1,1,1,0,0
staggering,adj,quant,1,1,1,1,0,0
whopping,adj,quant,1,1,1,1,1,1
hefty,adj,quant,1,1,0,1,0,0
paltry,adj,quant,1,0,0,1,0,0
meager,adj,quant,1,0,0,1,0,0
hungry,adj,hungry,0,0,1,0,0,1
eager,adj,hungry,0,0,1,0,0,1
grateful,adj,hungry,0,0,1,0,0,1
three,num,low,1,1,1,1,1,1
five,num,low,1,0,0,1,1,1
six,num,low,1,0,0,0,0,0
eight,num,low,1,0,0,0,0,0
ten,num,low,1,0,0,0,0,0
twenty,num,med,1,1,1,0,0,0
fifty,num,med,1,0,0,0,0,0
500,num,high,1,1,1,0,0,0
1000,num,high,1,0,0,0,0,0
"10,000",num,high,1,0,0,0,0,0
21,num,med_odd,1,0,0,0,0,0
51,num,med_odd,1,1,1,0,0,0
512,num,med_odd,1,0,0,0,0,0
"1,429",num,high_odd,1,0,0,0,0,0
"21,234",num,high_odd,1,0,0,0,0,0
days,noun,measure,1,0,0,1,1,0
weeks,noun,measure,1,0,0,0,1,0
months,noun,measure,1,0,0,0,0,0
years,noun,measure,1,0,0,0,0,0
hours,noun,measure,1,0,0,0,0,0
large,adj,stubborn,0,1,0,0,0,0
big,adj,stubborn,0,1,0,0,0,0
small,adj,stubborn,0,1,0,0,0,0
round,adj,stubborn,0,1,0,0,0,0
long,adj,stubborn,0,1,0,0,0,0
blue,adj,color,0,1,0,0,0,0
green,adj,color,0,0,0,0,0,0
red,adj,color,0,0,0,0,0,0
pencils,noun,common,0,1,0,0,0,0
belts,noun,common,0,1,0,0,0,0
forks,noun,common,0,1,0,0,0,0
chairs,noun,common,0,1,0,0,0,0
cans,noun,common,0,1,0,0,0,0
gallons of water,noun,common_measure,0,1,0,0,1,0
heads of lettuce,noun,common_measure,0,1,0,0,1,0
carloads,noun,common_measure,0,1,0,0,1,0
chapters,noun,common_measure,0,1,0,0,1,0
servings,noun,common_measure,0,1,0,0,1,0
soldiers,noun,human,0,0,1,0,0,0
students,noun,human,0,0,1,0,0,1
athletes,noun,human,0,0,1,0,0,1
piano players,noun,human,0,0,1,0,0,1
teammates,noun,human,0,0,1,0,0,1
spreetas,noun,fake,0,0,0,0,0,0
likidis,noun,fake,0,0,0,0,0,0
sproops,noun,fake,0,0,0,0,0,0
lenners,noun,fake,0,0,0,0,0,0
broadshoots,noun,fake,0,0,0,0,0,0