type,singplur,first,second,,,,
temporal,singular,,is just what you need,,,,
temporal,plural,,are just what you need,,,,
temporal,singular,,is ideal,,,,
temporal,plural,,are ideal,,,,
objects,singular,,is available,,,,
objects,plural,,are available,,,,
objects,singular,,makes a lovely gift,,,,
objects,plural,,make a lovely gift,,,,
human,singular,,regularly shows up at the door,,,,
human,plural,,regularly show up at the door,,,,
human,singular,,is here,,,,
human,plural,,are here,,,,
art,singular,,was reviewed in the newspaper,,,,
art,plural,,were reviewed in the newspaper,,,,
art,singular,,was enjoyed,,,,
art,plural,,were enjoyed,,,,
distance,singular,,is a long way,,,,
distance,plural,,are a long way,,,,
distance,singular,,is not far,,,,
distance,plural,,are not far,,,,
unitlike,singular,,was uncovered,,,,
unitlike,plural,,were uncovered,,,,
unitlike,singular,,makes an impression,,,,
unitlike,plural,,make an impression,,,,